Individual,Population,Latitude,Longitude,SewageEffluent,SewageEffluent_new,Temp_Avg,Temp_Min,Temp_Max,Salinity_Avg,Salinity_Min,Salinity_Max,pH_Avg,DO_Avg,May_Temp_Avg,May_Temp_Min,May_Temp_Max,May_Salinity_Avg,May_Salinity_Min,May_Salinity_Max,May_pH_Avg,May_DO_Avg,June_Temp_Avg,June_Temp_Min,June_Temp_Max,June_Salinity_Avg,June_Salinity_Min,June_Salinity_Max,June_pH_Avg,June_DO_Avg,July_Temp_Avg,July_Temp_Min,July_Temp_Max,July_Salinity_Avg,July_Salinity_Min,July_Salinity_Max,July_pH_Avg,July_DO_Avg,August_Temp_Avg,August_Temp_Min,August_Temp_Max,August_pH_Avg,September_Temp_Avg,September_Temp_Min,September_Temp_Max
BIS_1,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_10,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_2,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_3,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_4,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_5,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_6,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_7,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_8,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
BIS_9,BIS,41.5450464,-71.4294544,8.824635605,2.382218444,21.39,9.24,31.58,27.32,9.36,31.13,7.94,7.05,15.38,9.24,24.55,25.35,9.36,28.7,8.03,10.48,21.14,16.65,28.66,26.63,14.19,29.44,7.97,8.09,24.51,20.63,30.22,28.91,16.81,31.13,7.87,5.41,25.15,21.67,30.54,7.88,21.76,16.04,27.73
GB_1,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_10,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_2,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_3,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_4,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_5,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_6,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_7,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_8,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
GB_9,GB,41.65425607,-71.44445332,14.59604933,3.655488742,22.27,11.4,29,29.58,22,33.5,7.67,4.57,16.95,11.4,21.1,28.67,25,32,7.84,7.03,21.44,16,26,28.32,22,31,7.78,5.61,24.83,20,28.2,29.52,26.9,32.3,7.51,3.38,25.01,22,29,7.59,21.65,17.8,26.2
KIC_1,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_10,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_2,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_3,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_4,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_5,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_6,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_7,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_8,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
KIC_9,KIC,41.69798182,-71.24631358,56.31259388,39.21418926,21.5,11.9,27.7,28.31,21,33,7.84,6.07,16.06,11.9,18.9,27.56,25,30,7.96,7.69,20.56,16.2,23.3,28.16,26,30,7.94,6.27,24.21,21.7,25.7,28.1,24,30,7.79,5.19,24.55,21.1,27.7,7.83,21.9,19.1,26.12
MCD_1,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_10,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_2,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_3,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_4,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_5,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_6,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_7,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_8,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
MCD_9,MCD,41.54712365,-71.20334272,12.11122784,3.283741476,22.24,6.49,33.94,20.68,3.27,29.46,7.69,8.76,16.97,8.75,27.14,21.14,3.27,28.76,7.95,9.99,22.88,17.36,31.77,21.71,9.35,25.84,7.64,7.53,26.39,21.57,33.94,19.33,11.4,23.01,7.58,3.88,26.33,21.35,32.28,7.5,21.5,12.84,27.62
PVD_1,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_10,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_2,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_3,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_4,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_5,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_6,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_7,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_8,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
PVD_9,PVD,41.81560557,-71.39067507,59.86003819,47.67300085,21.5,8.78,27.99,20.46,5.01,33.67,7.63,6.07,15.08,8.78,20.5,16.97,8.3,28.91,7.7,8.47,19.75,15.62,24.26,18.66,5.01,29.1,7.69,6.95,24.45,19.73,27.99,20.96,8.67,31.66,7.68,5.43,24.58,21.67,27.98,7.62,22.01,18.96,25.76
