"","gene_name","GeneOntologyIDs","Term","Annotated","Significant","Expected","Fisher","ontology","prop.sig.genes"
"178","LOC111108397","GO:0031625","ubiquitin protein ligase binding",35,2,0.26,0.0279,"Molecular Functions",0.0571428571428571
"179","LOC111110485","GO:0004565","beta-galactosidase activity",5,1,0.04,0.0367,"Molecular Functions",0.2
"180","LOC111110485","GO:0004565","beta-galactosidase activity",5,1,0.04,0.0367,"Molecular Functions",0.2
"181","LOC111110920","GO:0005516","calmodulin binding",35,2,0.26,0.0279,"Molecular Functions",0.0571428571428571
"182","LOC111111143","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"183","LOC111111143","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"184","LOC111111143","GO:0030234","enzyme regulator activity",566,8,4.22,0.0174,"Molecular Functions",0.0141342756183746
"185","LOC111112048","GO:0003746","translation elongation factor activity",25,2,0.19,0.0148,"Molecular Functions",0.08
"186","LOC111112049","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"187","LOC111112049","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"188","LOC111115748","GO:0032050","clathrin heavy chain binding",4,1,0.03,0.0295,"Molecular Functions",0.25
"189","LOC111117964","GO:0003723","RNA binding",833,18,6.21,0.0104,"Molecular Functions",0.021608643457383
"190","LOC111117972","GO:0051015","actin filament binding",117,7,0.87,2.8e-05,"Molecular Functions",0.0598290598290598
"191","LOC111118083","GO:0003723","RNA binding",833,18,6.21,0.0104,"Molecular Functions",0.021608643457383
"192","LOC111118152","GO:0046961","proton-transporting ATPase activity, rotational mechanism",23,2,0.17,0.0126,"Molecular Functions",0.0869565217391304
"193","LOC111118809","GO:0003723","RNA binding",833,18,6.21,0.0104,"Molecular Functions",0.021608643457383
"194","LOC111119190","GO:0004586","ornithine decarboxylase activity",1,1,0.01,0.0074,"Molecular Functions",1
"195","LOC111119941","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"196","LOC111120874","GO:0005516","calmodulin binding",35,2,0.26,0.0279,"Molecular Functions",0.0571428571428571
"197","LOC111120874","GO:0033192","calmodulin-dependent protein phosphatase activity",1,1,0.01,0.0074,"Molecular Functions",1
"198","LOC111120994","GO:0003723","RNA binding",833,18,6.21,0.0104,"Molecular Functions",0.021608643457383
"199","LOC111121056","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"200","LOC111121056","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"201","LOC111121393","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"202","LOC111121733","GO:0051015","actin filament binding",117,7,0.87,2.8e-05,"Molecular Functions",0.0598290598290598
"203","LOC111122066","GO:0051015","actin filament binding",117,7,0.87,2.8e-05,"Molecular Functions",0.0598290598290598
"204","LOC111122164","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"205","LOC111122250","GO:0042393","histone binding",71,3,0.53,0.016,"Molecular Functions",0.0422535211267606
"206","LOC111122288","GO:0004001","adenosine kinase activity",2,1,0.01,0.0148,"Molecular Functions",0.5
"207","LOC111122288","GO:0004001","adenosine kinase activity",2,1,0.01,0.0148,"Molecular Functions",0.5
"208","LOC111123434","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"209","LOC111125036","GO:0003723","RNA binding",833,18,6.21,0.0104,"Molecular Functions",0.021608643457383
"210","LOC111125036","GO:0003723","RNA binding",833,18,6.21,0.0104,"Molecular Functions",0.021608643457383
"211","LOC111125164","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"212","LOC111125421","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"213","LOC111125421","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"214","LOC111126107","GO:0003723","RNA binding",833,18,6.21,0.0104,"Molecular Functions",0.021608643457383
"215","LOC111126821","GO:0050699","WW domain binding",2,1,0.01,0.0148,"Molecular Functions",0.5
"216","LOC111126968","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"217","LOC111126968","GO:0051015","actin filament binding",117,7,0.87,2.8e-05,"Molecular Functions",0.0598290598290598
"218","LOC111127230","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"219","LOC111127230","GO:0016887","ATPase activity",359,10,2.67,0.0017,"Molecular Functions",0.0278551532033426
"220","LOC111127230","GO:0051082","unfolded protein binding",66,4,0.49,0.0015,"Molecular Functions",0.0606060606060606
"221","LOC111127230","GO:0051082","unfolded protein binding",66,4,0.49,0.0015,"Molecular Functions",0.0606060606060606
"222","LOC111127274","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"223","LOC111127274","GO:0016887","ATPase activity",359,10,2.67,0.0017,"Molecular Functions",0.0278551532033426
"224","LOC111127274","GO:0031491","nucleosome binding",30,3,0.22,0.0069,"Molecular Functions",0.1
"225","LOC111127274","GO:0042393","histone binding",71,3,0.53,0.016,"Molecular Functions",0.0422535211267606
"226","LOC111127289","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"227","LOC111127289","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"228","LOC111127289","GO:0016887","ATPase activity",359,10,2.67,0.0017,"Molecular Functions",0.0278551532033426
"229","LOC111127289","GO:0031072","heat shock protein binding",46,2,0.34,0.0461,"Molecular Functions",0.0434782608695652
"230","LOC111127289","GO:0051082","unfolded protein binding",66,4,0.49,0.0015,"Molecular Functions",0.0606060606060606
"231","LOC111127289","GO:0051787","misfolded protein binding",20,2,0.15,0.0096,"Molecular Functions",0.1
"232","LOC111127302","GO:0008127","quercetin 2,3-dioxygenase activity",4,1,0.03,0.0295,"Molecular Functions",0.25
"233","LOC111128115","GO:0031625","ubiquitin protein ligase binding",35,2,0.26,0.0279,"Molecular Functions",0.0571428571428571
"234","LOC111128496","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"235","LOC111128496","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"236","LOC111128836","GO:0004104","cholinesterase activity",4,1,0.03,0.0295,"Molecular Functions",0.25
"237","LOC111128838","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"238","LOC111129841","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"239","LOC111129841","GO:0005524","ATP binding",1286,17,9.58,0.0152,"Molecular Functions",0.0132192846034215
"240","LOC111129841","GO:0016887","ATPase activity",359,10,2.67,0.0017,"Molecular Functions",0.0278551532033426
"241","LOC111129841","GO:0016887","ATPase activity",359,10,2.67,0.0017,"Molecular Functions",0.0278551532033426
"242","LOC111129841","GO:0051082","unfolded protein binding",66,4,0.49,0.0015,"Molecular Functions",0.0606060606060606
"243","LOC111129841","GO:0051082","unfolded protein binding",66,4,0.49,0.0015,"Molecular Functions",0.0606060606060606
"244","LOC111129841","GO:0097718","disordered domain specific binding",1,1,0.01,0.0074,"Molecular Functions",1
"245","LOC111130040","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
"246","LOC111130257","GO:0051015","actin filament binding",117,7,0.87,2.8e-05,"Molecular Functions",0.0598290598290598
"247","LOC111130401","GO:0030234","enzyme regulator activity",566,8,4.22,0.0174,"Molecular Functions",0.0141342756183746
"248","LOC111130486","GO:0005509","calcium ion binding",846,14,6.3,0.0043,"Molecular Functions",0.016548463356974
